,weight,prod_distance,time_delivery
0,1.0,1459.0,8.0
1,46.0,2118.0,6.0
2,73.0,1731.0,2.0
3,82.0,1459.0,11.0
4,28.0,2913.0,2.0
5,1.0,1335.0,4.0
6,37.0,2135.0,10.0
7,10.0,2501.0,5.0
8,73.0,2028.0,8.0
9,82.0,2700.0,7.0
10,1.0,1346.0,9.0
11,1.0,2028.0,1.0
12,1.0,1467.0,13.0
13,37.0,2680.0,1.0
14,64.0,2105.0,1.0
15,37.0,1467.0,2.0
16,55.0,1772.0,3.0
17,73.0,2700.0,1.0
18,64.0,2231.0,10.0
19,19.0,2913.0,6.0
20,10.0,1284.0,7.0
21,10.0,2028.0,7.0
22,37.0,2476.0,6.0
23,10.0,2796.0,8.0
24,46.0,1284.0,5.0
25,37.0,1928.0,3.0
26,46.0,1237.0,2.0
27,19.0,1567.0,10.0
28,55.0,2118.0,8.0
29,28.0,2796.0,1.0
30,1.0,1804.0,14.0
31,19.0,1772.0,4.0
32,64.0,2231.0,4.0
33,64.0,1284.0,4.0
34,55.0,2105.0,8.0
35,19.0,2163.0,11.0
36,10.0,1734.0,2.0
37,10.0,2105.0,6.0
38,46.0,2796.0,7.0
39,10.0,1804.0,8.0
40,19.0,1161.0,1.0
41,82.0,2105.0,13.0
42,1.0,1459.0,9.0
43,73.0,1731.0,3.0
44,28.0,1567.0,2.0
45,1.0,1731.0,13.0
46,82.0,2680.0,12.0
47,10.0,2135.0,9.0
48,37.0,2135.0,13.0
49,82.0,1335.0,13.0
50,82.0,1467.0,4.0
51,55.0,1734.0,8.0
52,28.0,1567.0,6.0
53,28.0,1928.0,7.0
54,73.0,2936.0,9.0
55,82.0,2135.0,10.0
56,10.0,2074.0,9.0
57,19.0,1467.0,10.0
58,1.0,1797.0,8.0
59,46.0,2501.0,4.0
60,19.0,2796.0,4.0
61,73.0,2028.0,11.0
62,10.0,1731.0,11.0
63,46.0,2796.0,4.0
64,82.0,1346.0,11.0
65,46.0,2105.0,3.0
66,19.0,2936.0,14.0
67,46.0,2501.0,6.0
68,82.0,2416.0,9.0
69,19.0,2098.0,4.0
70,1.0,1772.0,13.0
71,64.0,1734.0,12.0
72,46.0,2074.0,14.0
73,28.0,2028.0,10.0
74,19.0,2416.0,14.0
75,28.0,2680.0,9.0
76,64.0,2028.0,3.0
77,55.0,2680.0,10.0
78,55.0,1346.0,13.0
79,55.0,1731.0,7.0
80,64.0,2098.0,3.0
81,46.0,2163.0,7.0
82,46.0,2028.0,9.0
83,82.0,2471.0,8.0
84,64.0,2680.0,13.0
85,73.0,1804.0,11.0
86,73.0,1467.0,8.0
87,82.0,2631.0,1.0
88,46.0,2700.0,11.0
89,64.0,2231.0,11.0
90,82.0,1237.0,10.0
91,19.0,2631.0,3.0
92,1.0,2913.0,11.0
93,46.0,2163.0,6.0
94,73.0,2416.0,9.0
95,28.0,2913.0,4.0
96,19.0,2231.0,8.0
97,46.0,2501.0,14.0
98,55.0,2936.0,8.0
99,55.0,2700.0,8.0
100,19.0,1567.0,4.0
101,82.0,2631.0,8.0
102,28.0,1467.0,9.0
103,10.0,2476.0,8.0
104,28.0,1459.0,14.0
105,73.0,2476.0,13.0
106,64.0,1346.0,12.0
107,73.0,2913.0,2.0
108,28.0,2476.0,13.0
109,55.0,1731.0,9.0
110,64.0,1567.0,6.0
111,73.0,2913.0,9.0
112,28.0,2700.0,8.0
113,64.0,1804.0,14.0
114,28.0,2680.0,1.0
115,10.0,2028.0,3.0
116,1.0,2700.0,5.0
117,46.0,2936.0,8.0
118,37.0,2680.0,2.0
119,19.0,2700.0,5.0
120,46.0,2501.0,8.0
121,1.0,1567.0,6.0
122,55.0,1346.0,4.0
123,73.0,1237.0,1.0
124,19.0,1237.0,6.0
125,82.0,2501.0,12.0
126,73.0,1346.0,3.0
127,28.0,2476.0,3.0
128,37.0,1335.0,2.0
129,55.0,1804.0,11.0
130,82.0,1928.0,4.0
131,82.0,2631.0,6.0
132,28.0,2105.0,9.0
133,10.0,1237.0,11.0
134,82.0,1567.0,8.0
135,46.0,2501.0,9.0
136,55.0,2700.0,10.0
137,19.0,2501.0,5.0
138,64.0,1161.0,5.0
139,10.0,2476.0,14.0
140,73.0,1467.0,3.0
141,10.0,1335.0,7.0
142,46.0,2043.0,11.0
143,73.0,2501.0,7.0
144,46.0,1734.0,3.0
145,82.0,1797.0,6.0
146,82.0,2118.0,11.0
147,55.0,1772.0,10.0
148,28.0,1797.0,6.0
149,82.0,2028.0,3.0
150,10.0,2796.0,3.0
151,28.0,1567.0,9.0
152,82.0,1467.0,10.0
153,73.0,2631.0,10.0
154,55.0,2488.0,1.0
155,46.0,2700.0,4.0
156,55.0,1797.0,6.0
157,37.0,1567.0,10.0
158,37.0,1284.0,10.0
159,10.0,2501.0,10.0
160,55.0,1783.0,4.0
161,46.0,2043.0,3.0
162,28.0,1734.0,4.0
163,82.0,2488.0,3.0
164,73.0,1237.0,8.0
165,73.0,2936.0,7.0
166,46.0,1467.0,13.0
167,19.0,1772.0,14.0
168,37.0,2936.0,3.0
169,37.0,2700.0,4.0
170,1.0,2501.0,13.0
171,19.0,1734.0,6.0
172,73.0,1567.0,2.0
173,1.0,2936.0,12.0
174,46.0,1804.0,7.0
175,19.0,1734.0,1.0
176,82.0,2028.0,7.0
177,28.0,2488.0,4.0
178,19.0,1804.0,10.0
179,46.0,1459.0,10.0
180,64.0,2028.0,12.0
181,55.0,2074.0,1.0
182,46.0,1467.0,9.0
183,55.0,1284.0,8.0
184,73.0,2631.0,14.0
185,37.0,2680.0,8.0
186,46.0,1804.0,3.0
187,64.0,1797.0,1.0
188,55.0,1161.0,6.0
189,82.0,1797.0,9.0
190,37.0,2631.0,2.0
191,64.0,1731.0,3.0
192,82.0,2416.0,13.0
193,37.0,2936.0,9.0
194,1.0,1731.0,9.0
195,19.0,2098.0,1.0
196,55.0,2476.0,6.0
197,82.0,1731.0,9.0
198,19.0,2913.0,2.0
199,1.0,2416.0,3.0
200,82.0,2476.0,9.0
201,55.0,2796.0,14.0
202,1.0,2135.0,2.0
203,73.0,1731.0,8.0
204,64.0,1161.0,4.0
205,28.0,2135.0,9.0
206,55.0,1772.0,14.0
207,37.0,1346.0,1.0
208,28.0,2163.0,9.0
209,73.0,1734.0,14.0
210,28.0,2501.0,10.0
211,64.0,1797.0,2.0
212,19.0,1783.0,4.0
213,10.0,1284.0,9.0
214,10.0,2105.0,9.0
215,73.0,2043.0,6.0
216,46.0,1567.0,12.0
217,82.0,2416.0,6.0
218,1.0,2118.0,12.0
219,73.0,1467.0,1.0
220,1.0,1284.0,4.0
221,46.0,1731.0,12.0
222,10.0,2631.0,4.0
223,1.0,2936.0,10.0
224,1.0,1772.0,7.0
225,46.0,2231.0,11.0
226,73.0,2700.0,7.0
227,1.0,1797.0,9.0
228,82.0,2471.0,2.0
229,28.0,1335.0,8.0
230,37.0,1783.0,13.0
231,19.0,2913.0,4.0
232,1.0,1335.0,7.0
233,10.0,1797.0,14.0
234,55.0,2231.0,4.0
235,19.0,2936.0,5.0
236,82.0,2135.0,12.0
237,1.0,1161.0,2.0
238,64.0,1346.0,6.0
239,73.0,1284.0,10.0
240,37.0,2135.0,2.0
241,28.0,2936.0,7.0
242,28.0,1237.0,1.0
243,55.0,1335.0,14.0
244,28.0,1772.0,6.0
245,1.0,1772.0,9.0
246,37.0,2680.0,11.0
247,10.0,2163.0,12.0
248,73.0,2105.0,3.0
249,10.0,2074.0,14.0
250,28.0,1335.0,5.0
251,64.0,1346.0,2.0
252,82.0,1237.0,5.0
253,55.0,1772.0,13.0
254,46.0,1346.0,12.0
255,64.0,2163.0,7.0
256,28.0,1804.0,9.0
257,55.0,2074.0,11.0
258,37.0,2028.0,14.0
259,1.0,2680.0,11.0
260,73.0,2913.0,4.0
261,73.0,1284.0,8.0
262,82.0,1731.0,8.0
263,64.0,1772.0,2.0
264,19.0,2043.0,10.0
265,1.0,2631.0,9.0
266,46.0,2913.0,3.0
267,37.0,2913.0,3.0
268,19.0,2043.0,7.0
269,10.0,2488.0,8.0
270,55.0,2135.0,13.0
271,37.0,2471.0,3.0
272,55.0,1772.0,4.0
273,64.0,2471.0,11.0
274,37.0,1804.0,12.0
275,28.0,2163.0,10.0
276,55.0,1804.0,4.0
277,37.0,1783.0,11.0
278,37.0,2163.0,1.0
279,19.0,1284.0,14.0
280,55.0,2028.0,10.0
281,64.0,2074.0,1.0
282,55.0,1346.0,14.0
283,28.0,2936.0,3.0
284,10.0,1467.0,8.0
285,46.0,2501.0,12.0
286,55.0,2471.0,6.0
287,73.0,2796.0,10.0
288,10.0,1567.0,10.0
289,19.0,2488.0,3.0
290,1.0,1346.0,13.0
291,1.0,2488.0,7.0
292,28.0,1928.0,12.0
293,28.0,2936.0,5.0
294,82.0,1335.0,14.0
295,82.0,2043.0,14.0
296,73.0,2163.0,2.0
297,64.0,1731.0,11.0
298,1.0,2680.0,4.0
299,64.0,2936.0,5.0
300,28.0,2074.0,12.0
301,55.0,1459.0,10.0
302,37.0,2043.0,10.0
303,46.0,1734.0,1.0
304,1.0,1335.0,9.0
305,10.0,1284.0,8.0
306,64.0,2163.0,14.0
307,82.0,2105.0,4.0
308,82.0,2700.0,8.0
309,19.0,2163.0,7.0
310,55.0,2631.0,3.0
311,37.0,1928.0,6.0
312,55.0,2680.0,9.0
313,64.0,2936.0,8.0
314,64.0,1783.0,1.0
315,10.0,1346.0,5.0
316,1.0,2098.0,1.0
317,46.0,2488.0,1.0
318,1.0,2913.0,10.0
319,55.0,1284.0,3.0
320,19.0,2476.0,12.0
321,73.0,1928.0,1.0
322,55.0,2231.0,11.0
323,82.0,2631.0,3.0
324,64.0,2416.0,9.0
325,1.0,2488.0,8.0
326,19.0,1335.0,8.0
327,19.0,2231.0,14.0
328,1.0,2163.0,12.0
329,10.0,1237.0,4.0
330,55.0,1567.0,12.0
331,37.0,2488.0,10.0
332,1.0,2488.0,10.0
333,73.0,1284.0,13.0
334,1.0,2416.0,9.0
335,82.0,1284.0,12.0
336,64.0,2936.0,10.0
337,19.0,2043.0,5.0
338,19.0,1928.0,10.0
339,64.0,2501.0,11.0
340,28.0,2043.0,14.0
341,37.0,1928.0,9.0
342,19.0,1734.0,5.0
343,28.0,2680.0,4.0
344,28.0,1237.0,13.0
345,10.0,1731.0,10.0
346,73.0,1734.0,1.0
347,1.0,1161.0,10.0
348,82.0,2700.0,6.0
349,37.0,1731.0,14.0
350,46.0,1346.0,5.0
351,82.0,1284.0,9.0
352,82.0,1237.0,13.0
353,19.0,1797.0,4.0
354,46.0,2631.0,6.0
355,10.0,1346.0,11.0
356,82.0,2680.0,10.0
357,19.0,2488.0,6.0
358,28.0,1161.0,8.0
359,37.0,1335.0,7.0
360,64.0,2028.0,6.0
361,1.0,2700.0,8.0
362,82.0,2105.0,5.0
363,1.0,1731.0,8.0
364,55.0,1783.0,2.0
365,46.0,1335.0,9.0
366,28.0,1161.0,6.0
367,10.0,2231.0,8.0
368,1.0,2135.0,11.0
369,55.0,2471.0,11.0
370,10.0,2796.0,14.0
371,55.0,2105.0,2.0
372,37.0,2471.0,12.0
373,82.0,1734.0,13.0
374,64.0,2416.0,4.0
375,73.0,1284.0,4.0
376,73.0,2098.0,4.0
377,73.0,1346.0,1.0
378,10.0,1467.0,9.0
379,19.0,1161.0,4.0
380,28.0,2471.0,5.0
381,46.0,1459.0,14.0
382,37.0,2680.0,5.0
383,55.0,2098.0,14.0
384,46.0,2074.0,3.0
385,1.0,1928.0,5.0
386,55.0,1161.0,4.0
387,28.0,1459.0,11.0
388,37.0,1237.0,9.0
389,73.0,1797.0,7.0
390,10.0,1797.0,11.0
391,19.0,1734.0,12.0
392,46.0,1346.0,4.0
393,64.0,2135.0,7.0
394,10.0,1734.0,6.0
395,73.0,2476.0,8.0
396,10.0,2074.0,11.0
397,19.0,2028.0,12.0
398,37.0,1797.0,10.0
399,37.0,2936.0,5.0
400,1.0,1467.0,8.0
401,82.0,1928.0,10.0
402,1.0,2043.0,5.0
403,64.0,1467.0,13.0
404,46.0,1459.0,7.0
405,1.0,1731.0,10.0
406,55.0,2028.0,4.0
407,10.0,1731.0,9.0
408,28.0,2501.0,14.0
409,28.0,2471.0,13.0
410,37.0,2488.0,12.0
411,55.0,2416.0,3.0
412,55.0,2936.0,12.0
413,10.0,1161.0,7.0
414,37.0,2105.0,6.0
415,28.0,2135.0,2.0
416,82.0,2043.0,2.0
417,64.0,2501.0,1.0
418,82.0,1772.0,1.0
419,73.0,1284.0,14.0
420,73.0,1459.0,5.0
421,37.0,2796.0,9.0
422,1.0,2118.0,10.0
423,19.0,1731.0,13.0
424,46.0,1783.0,1.0
425,73.0,2913.0,1.0
426,28.0,1783.0,2.0
427,73.0,1804.0,7.0
428,28.0,1284.0,1.0
429,64.0,2471.0,2.0
430,19.0,1237.0,13.0
431,37.0,1567.0,4.0
432,46.0,2105.0,6.0
433,10.0,1346.0,10.0
434,55.0,2796.0,2.0
435,19.0,2135.0,10.0
436,1.0,2631.0,1.0
437,82.0,1804.0,5.0
438,28.0,2700.0,4.0
439,1.0,2936.0,2.0
440,55.0,1467.0,1.0
441,73.0,2043.0,14.0
442,19.0,1346.0,1.0
443,10.0,1734.0,8.0
444,19.0,2043.0,8.0
445,19.0,2043.0,2.0
446,64.0,1284.0,2.0
447,28.0,2118.0,6.0
448,10.0,2631.0,13.0
449,55.0,2631.0,14.0
450,37.0,1467.0,5.0
451,10.0,2488.0,4.0
452,73.0,2796.0,8.0
453,64.0,1928.0,12.0
454,19.0,2231.0,13.0
455,37.0,1459.0,9.0
456,55.0,1467.0,12.0
457,82.0,1467.0,3.0
458,19.0,2796.0,9.0
459,37.0,2135.0,12.0
460,28.0,1335.0,13.0
461,37.0,1467.0,7.0
462,1.0,1346.0,11.0
463,1.0,1567.0,8.0
464,1.0,1284.0,8.0
465,46.0,2700.0,10.0
466,19.0,1459.0,11.0
467,55.0,1567.0,3.0
468,55.0,1346.0,6.0
469,10.0,1797.0,7.0
470,55.0,2476.0,9.0
471,64.0,1772.0,10.0
472,19.0,2163.0,2.0
473,46.0,2416.0,13.0
474,37.0,2043.0,4.0
475,19.0,1772.0,3.0
476,37.0,1335.0,5.0
477,46.0,2043.0,14.0
478,73.0,2105.0,2.0
479,73.0,2416.0,8.0
480,55.0,2416.0,4.0
481,46.0,2416.0,6.0
482,73.0,2680.0,9.0
483,28.0,2631.0,14.0
484,37.0,2163.0,13.0
485,73.0,1783.0,6.0
486,19.0,1783.0,10.0
487,19.0,2471.0,1.0
488,55.0,2501.0,11.0
489,82.0,2043.0,4.0
490,10.0,2471.0,14.0
491,10.0,1772.0,1.0
492,73.0,1797.0,6.0
493,55.0,1567.0,8.0
494,37.0,2028.0,10.0
495,10.0,2501.0,2.0
496,64.0,1335.0,10.0
497,55.0,2163.0,3.0
498,19.0,2231.0,3.0
499,64.0,2476.0,4.0
500,1.0,2796.0,8.0
501,28.0,2163.0,6.0
502,82.0,2476.0,2.0
503,46.0,1772.0,13.0
504,1.0,2476.0,7.0
505,82.0,2043.0,8.0
506,10.0,2471.0,3.0
507,10.0,1467.0,14.0
508,10.0,2680.0,11.0
509,46.0,1161.0,5.0
510,73.0,2501.0,3.0
511,28.0,1459.0,2.0
512,37.0,1467.0,13.0
513,1.0,2680.0,13.0
514,82.0,2118.0,1.0
515,55.0,2231.0,2.0
516,46.0,1731.0,14.0
517,82.0,2118.0,12.0
518,37.0,1731.0,5.0
519,64.0,2913.0,14.0
520,1.0,2074.0,4.0
521,37.0,1772.0,4.0
522,64.0,1237.0,13.0
523,37.0,2488.0,14.0
524,19.0,2471.0,8.0
525,28.0,2488.0,6.0
526,73.0,2796.0,4.0
527,28.0,1783.0,13.0
528,82.0,1335.0,9.0
529,55.0,1335.0,10.0
530,46.0,2416.0,12.0
531,46.0,1467.0,11.0
532,64.0,1237.0,12.0
533,64.0,2028.0,8.0
