,target
0,637870.9933498312
1,718029.5012369471
2,535662.4124994893
3,797881.4702069425
4,461111.2524644242
5,581082.9787274452
6,746268.6558336186
7,733494.6076797519
8,573176.0324994893
9,635269.2902069426
10,738106.1612369472
11,733506.0240008646
12,496708.8812369472
13,615910.8187274452
14,715007.1225970787
15,675585.3923521412
16,699823.1047340297
17,478806.1318136714
18,717863.0537311212
19,710886.1314326305
20,602432.9818052801
21,783865.9618052801
22,525522.5533498311
23,642857.7621824719
24,677806.7724644243
25,461680.7999192636
26,575824.8123281042
27,577667.9627244101
28,638832.7037311213
29,706588.8691183892
30,543969.1387274452
31,722523.6247340296
32,718079.0537311212
33,634651.5718136714
34,642722.7621824719
35,694192.6037311212
36,559942.3212148325
37,778285.0749294312
38,602216.9818052801
39,592980.5504500828
40,650816.2499192636
41,670304.4733498312
42,700220.6049294312
43,784104.8653672726
44,774967.2508572766
45,538811.0927244101
46,695378.6681415535
47,482442.0733498312
48,608242.7253577651
49,707279.407679752
50,729356.1321824719
51,718914.0123281042
52,496087.8812369472
53,641322.2908572765
54,708208.8691183892
55,452440.4537311212
56,525234.5533498311
57,668202.1149294311
58,644234.0647340297
59,565584.9979983787
60,739696.4523281042
61,633999.2081415536
62,721073.3981415535
63,460075.4587274453
64,696053.6681415535
65,486513.01668746286
66,696656.8412369471
67,735290.8579669729
68,555730.6449294311
69,804429.3369504637
70,707008.6918735134
71,533911.1025970788
72,734126.5212148326
73,731008.3891183891
74,741635.1827244101
75,636051.7758336186
76,524564.3658336187
77,594033.5504500828
78,679112.3399192637
79,744555.0187274452
80,803542.4412148325
81,724403.9479983787
82,703233.3766874628
83,582833.0124644242
84,494794.9037311211
85,508915.7491183892
86,564846.8358336187
87,669570.3679983787
88,650397.1314326305
89,647621.8524644242
90,777700.0749294312
91,730756.3891183891
92,603252.0118735133
93,698652.4427244101
94,695051.2918136714
95,608636.972182472
96,540026.0927244101
97,499170.98473402974
98,760807.8118735134
99,494868.1314326305
100,447901.9140008646
101,513994.20020694257
102,607376.972182472
103,517228.6812148326
104,764956.8581415537
105,746494.1449412772
106,731107.3891183891
107,459439.0523521411
108,755018.6039110986
109,538343.0927244101
110,451617.1724994892
111,533399.407679752
112,536297.0853577651
113,610512.2523281042
114,718497.5012369471
115,695483.2918136714
116,506203.8899192636
117,803299.4412148325
118,486918.01668746286
119,836205.9104500827
120,702709.3387274452
121,607232.1079669729
122,747365.7379983788
123,674088.3166874629
124,668818.3202069426
125,798736.4702069425
126,736851.1314326305
127,644990.0647340297
128,675060.6369504638
129,564904.0333498312
130,616878.9324644243
131,485865.01668746286
132,608004.1966874629
133,604081.0740008645
134,504337.1724644242
135,716288.707966973
136,734575.30180528
137,534447.4124994893
138,696242.6681415535
139,575500.8123281042
140,723419.1858336186
141,634552.7204500827
142,717871.0053577651
143,574266.6076797519
144,784850.1969504637
145,692797.0849412772
146,607887.1966874629
147,635144.3639110986
148,761239.8118735134
149,762042.7153672726
150,736586.8579669729
151,750954.9091183891
152,518771.3218052801
153,603405.0118735133
154,536051.3537311212
155,557273.8108572764
156,536366.3537311212
157,638997.6012148325
158,765953.5279983788
159,535079.3537311212
160,637257.1125970788
161,843313.9708572765
162,616126.8187274452
163,790237.2049412772
164,738086.5037311212
165,746133.6558336186
166,529377.3921824719
167,462625.7999192636
168,733782.6076797519
169,665602.9318136714
170,746861.7379983788
171,537368.5412369472
172,754921.4102069426
173,728342.5199192637
174,761887.8118735134
175,490924.7040008646
176,570987.182182472
177,745246.562352141
178,582014.0124644242
179,671391.1323281042
180,597463.2602069426
181,736455.2518735133
182,738444.8253577651
183,459760.4587274453
184,494497.6579669729
185,756640.807679752
186,737438.5037311212
187,738201.8253577651
188,707091.4153672726
189,666674.7825970788
190,638978.2579669729
191,668953.6739110985
192,561803.65180528
193,448993.7625970788
194,691177.0849412772
195,619037.1599192637
196,608319.1966874629
197,777955.9139110985
198,577100.9627244101
199,701269.3502069425
200,742581.0118136714
201,494805.1314326305
202,802534.4412148325
203,601359.9612148325
204,740776.4523281042
205,638762.2579669729
206,766209.4004500827
207,481159.4179983788
208,603745.5133498312
209,578811.1314326305
210,494940.1314326305
211,639625.545357765
212,710679.1314326305
213,714647.1225970787
214,703478.342182472
215,603572.9653672726
216,536162.0853577651
217,699074.9533498312
218,576587.9627244101
219,742344.1447340297
220,462733.7999192636
221,543474.1387274452
222,704112.6924644242
223,756136.4102069426
224,518933.8918735134
225,602487.7879983787
226,678819.5308572765
227,518165.07695046376
228,666809.7825970788
229,735142.30180528
230,692860.0849412772
231,599568.0508572765
232,736200.5653672726
233,803579.29180528
234,790417.2049412772
235,640109.4969504637
236,707911.8691183892
237,707442.4153672726
238,638563.9933498312
239,635080.2902069426
240,640128.7037311213
241,721262.3981415535
242,602449.5133498312
243,557022.7439110986
244,503014.4423521411
245,700373.6049294312
246,674999.552182472
247,635619.2081415536
248,577659.1314326305
249,823978.7308572765
250,696960.7158336187
251,673215.64180528
252,607599.1966874629
253,557705.8108572764
254,668918.2458336187
255,792418.5704500827
256,766817.5279983788
257,607032.1966874629
258,767694.4004500827
259,667766.2458336187
260,514537.4339110986
261,761691.7153672726
262,695267.2918136714
263,516076.6812148326
264,637269.6012148325
265,748556.6099192636
266,603250.3569504637
267,562713.8518136714
268,543466.832352141
269,575311.8123281042
270,790552.2049412772
271,675339.1318735133
272,569808.7725970788
273,720935.6518136715
274,696133.5723281042
275,634707.6249294311
276,800953.4908572766
277,451544.44535776513
278,721711.1149412772
279,730605.2939110985
280,523291.2079983787
281,669282.1149294311
282,800980.4908572766
283,729568.3891183891
284,639581.2724994892
285,728657.5199192637
286,666494.7825970788
287,565152.9979983787
288,513562.20020694257
289,744841.562352141
290,639500.2724994892
291,783445.8012148325
292,744670.562352141
293,745500.0187274452
294,518840.66536727257
295,744580.0108572766
296,705479.8812148325
297,736871.5037311212
298,615407.6123521412
299,562353.8518136714
300,495518.26535776514
301,704984.8812148325
302,519704.07695046376
303,766724.1258336187
304,760503.7153672726
305,495658.9037311211
306,667442.9381415535
307,538653.3723281042
308,707586.4153672726
309,772308.5566874628
310,722766.6247340296
311,741779.1827244101
312,676953.4987274453
313,580758.9787274452
314,534218.407679752
315,755194.5849294312
316,573988.905357765
317,645885.007679752
318,581334.9787274452
319,618317.1599192637
320,665957.9381415535
321,784926.3718735133
322,465704.22911838925
323,639777.7037311213
324,640390.545357765
325,785214.3718735133
326,564864.9979983787
327,836709.9104500827
328,706578.4153672726
329,481564.4179983788
330,789265.2049412772
331,533723.407679752
332,799417.2239110986
333,486810.01668746286
334,718366.0053577651
335,600118.2118136714
336,706438.0604500828
337,616143.1314326305
338,621342.3091183892
339,565017.9979983787
340,523966.2079983787
341,647687.6587274452
342,569697.1366874628
343,805168.0153672725
344,778393.0749294312
345,745777.0108572766
346,720642.0123281042
347,668738.2458336187
348,722081.3981415535
349,781041.1314326304
350,588018.9949412772
351,625735.0249412772
352,751857.4966874628
353,537114.1314326305
354,705236.8812148325
355,500466.98473402974
356,607899.6524994893
357,724223.9479983787
358,677212.207679752
359,798088.4702069425
360,460607.2524644242
361,674439.3166874629
362,693587.5579669729
363,513859.20020694257
364,494587.9037311211
365,494726.26535776514
366,573941.8037311212
367,480600.8958336187
368,502798.4423521411
369,798853.4702069425
370,603889.5133498312
371,533003.407679752
372,481519.4179983788
373,601050.4781415536
374,593745.5504500828
375,634680.6249294311
376,499602.98473402974
377,561030.8518136714
378,800665.4908572766
379,843889.9708572765
380,641817.2908572765
381,624871.0249412772
382,525927.5533498311
383,459355.4587274453
384,760908.1314326304
385,843484.9708572765
386,767505.4004500827
387,641041.5718735134
388,669737.4733498312
389,612668.5447340297
390,677784.5308572765
391,642918.2566874628
392,461869.7999192636
393,580580.222352141
394,556243.6449294311
395,536150.3537311212
396,707343.4153672726
397,633211.5718136714
398,513679.20020694257
399,671990.5727244101
400,675843.1318735133
401,524874.5533498311
402,751722.4966874628
403,609597.8612369471
404,752497.922182472
405,497464.8812369472
406,539783.0927244101
407,804780.3369504637
408,640489.545357765
409,706146.4153672726
410,676951.7724644243
411,729192.4366874628
412,634408.7204500827
413,668143.3202069426
414,519905.8918735134
415,522220.0181415536
416,493414.43259707873
417,570705.1366874628
418,751120.922182472
419,652349.8291183892
420,580362.9787274452
421,599835.4781415536
