,Origin
0,1.0
1,0.0
2,1.0
3,0.0
4,2.0
5,3.0
6,0.0
7,2.0
8,0.0
9,3.0
10,0.0
11,3.0
12,2.0
13,0.0
14,0.0
15,0.0
16,2.0
17,0.0
18,3.0
19,3.0
20,3.0
21,1.0
22,3.0
23,1.0
24,3.0
25,3.0
26,3.0
27,3.0
28,2.0
29,1.0
30,0.0
31,0.0
32,3.0
33,3.0
34,1.0
35,3.0
36,2.0
37,2.0
38,1.0
39,3.0
40,0.0
41,1.0
42,2.0
43,0.0
44,0.0
45,0.0
46,2.0
47,0.0
48,2.0
49,3.0
50,1.0
51,3.0
52,2.0
53,3.0
54,2.0
55,2.0
56,0.0
57,1.0
58,2.0
59,3.0
60,3.0
61,3.0
62,0.0
63,0.0
64,2.0
65,0.0
66,3.0
67,3.0
68,3.0
69,1.0
70,1.0
71,1.0
72,1.0
73,3.0
74,2.0
75,3.0
76,2.0
77,1.0
78,3.0
79,0.0
80,3.0
81,0.0
82,1.0
83,2.0
84,1.0
85,2.0
86,0.0
87,3.0
88,0.0
89,1.0
90,1.0
91,2.0
92,0.0
93,2.0
94,2.0
95,0.0
96,1.0
97,0.0
98,1.0
99,2.0
100,2.0
101,1.0
102,2.0
103,2.0
104,3.0
105,2.0
106,0.0
107,1.0
108,1.0
109,1.0
110,2.0
111,3.0
112,1.0
113,2.0
114,0.0
115,0.0
116,1.0
117,1.0
118,0.0
119,0.0
120,1.0
121,1.0
122,0.0
123,3.0
124,0.0
125,1.0
126,2.0
127,3.0
128,0.0
129,2.0
130,2.0
131,3.0
132,0.0
133,2.0
134,1.0
135,0.0
136,2.0
137,3.0
138,1.0
139,1.0
140,0.0
141,3.0
142,1.0
143,3.0
144,3.0
145,1.0
146,1.0
147,3.0
148,0.0
149,1.0
150,0.0
151,3.0
152,2.0
153,1.0
154,3.0
155,0.0
156,2.0
157,0.0
158,3.0
159,1.0
160,0.0
161,0.0
162,0.0
163,3.0
164,3.0
165,2.0
166,1.0
167,1.0
168,0.0
169,3.0
170,3.0
171,0.0
172,1.0
173,3.0
174,0.0
175,2.0
176,2.0
177,0.0
178,1.0
179,2.0
180,3.0
181,3.0
182,1.0
183,3.0
184,2.0
185,1.0
186,1.0
187,3.0
188,1.0
189,2.0
190,0.0
191,3.0
